Beer,Brewery,City,State,Style,Size,ABV,IBUs,Rating,Style Rating,Number of ratings,Weighted Avg,Estimated Calories
Upslope Pumpkin Ale,Upslope Brewing Company,Boulder,CO,Pumpkin Ale,16 oz.,7.70%,N/A,56,71,46,3.17,231
Upslope Thai Style White IPA,Upslope Brewing Company,Boulder,CO,American IPA,12 oz.,6.50%,33,91,84,28,3.48,195
Country Pale Ale,Wachusett Brewing Company,Westminster,MA,English Pale Ale,12 oz.,5.10%,17,46,72,101,3.05,153
Green Monsta IPA,Wachusett Brewing Company,Westminster,MA,American IPA,12 oz.,6.00%,55,51,28,196,3.13,183
IPA,Wachusett Brewing Company,Westminster,MA,American IPA,12 oz.,5.60%,N/A,80,56,127,3.33,168
Larry Imperial IPA,Wachusett Brewing Company,Westminster,MA,American Double / Imperial IPA,12 oz.,8.50%,85,96,77,182,3.6,255
Light IPA,Wachusett Brewing Company,Westminster,MA,American IPA,12 oz.,4.00%,37,42,13,9,3,120
Pumpkan,Wachusett Brewing Company,Westminster,MA,Pumpkin Ale,12 oz.,5.20%,20,40,45,24,2.98,156
Wachusett Blueberry Ale,Wachusett Brewing Company,Westminster,MA,Fruit / Vegetable Beer,12 oz.,4.50%,10,24,56,182,2.84,135
Wachusett Summer,Wachusett Brewing Company,Westminster,MA,American Pale Wheat Ale,12 oz.,4.70%,N/A,20,29,56,2.67,141
T-6 Red Ale (2004),Warbird Brewing Company,Fort Wayne,IN,American Amber / Red Ale,12 oz.,4.70%,N/A,22,18,80,2.71,141
West Sixth Amber Ale,West Sixth Brewing,Lexington,KY,American Amber / Red Ale,12 oz.,5.50%,N/A,64,86,47,3.22,165
West Sixth IPA,West Sixth Brewing,Lexington,KY,American IPA,12 oz.,7.00%,80,96,94,129,3.61,210
Gose,Westbrook Brewing Company,Mt. Pleasant,SC,Gose,12 oz.,4.00%,5,97,98,555,3.69,120
One Claw,Westbrook Brewing Company,Mt. Pleasant,SC,American Pale Ale (APA),12 oz.,5.50%,N/A,97,99,287,3.67,165
Westbrook IPA,Westbrook Brewing Company,Mt. Pleasant,SC,American IPA,12 oz.,6.80%,65,98,98,459,3.71,204
White Thai,Westbrook Brewing Company,Mt. Pleasant,SC,Witbier,12 oz.,5.00%,16,82,95,359,3.35,150
Ambitious Lager,Wildwood Brewing Company,Stevensville,MT,Munich Helles Lager,16 oz.,5.00%,N/A,29,98,10,2.83,150
Bodacious Bock,Wildwood Brewing Company,Stevensville,MT,Bock,16 oz.,7.50%,N/A,38,40,11,2.96,225
Wind River Blonde Ale,Wind River Brewing Company,Pinedale,WY,American Blonde Ale,16 oz.,5.00%,N/A,33,41,28,2.88,150
Wyoming Pale Ale,Wind River Brewing Company,Pinedale,WY,American Pale Ale (APA),16 oz.,7.20%,N/A,91,52,38,3.49,216
Ace IPA,Wingman Brewers,Tacoma,WA,American IPA,16 oz.,7.40%,83,86,70,27,3.39,222
P-51 Porter,Wingman Brewers,Tacoma,WA,American Porter,16 oz.,8.00%,31,51,5,32,3.13,240
Woodchuck Amber Hard Cider,Woodchuck Hard Cider,Middlebury,VT,Cider,12 oz.,5.00%,N/A,35,45,646,2.91,150
B3K Black Lager,Wynkoop Brewing Company,Denver,CO,Schwarzbier,12 oz.,5.50%,N/A,49,58,109,3.1,165
Belgorado,Wynkoop Brewing Company,Denver,CO,Belgian IPA,12 oz.,6.70%,45,59,34,40,3.17,201
Rail Yard Ale,Wynkoop Brewing Company,Denver,CO,American Amber / Red Ale,12 oz.,5.20%,N/A,41,47,108,2.98,156
Rocky Mountain Oyster Stout,Wynkoop Brewing Company,Denver,CO,American Stout,12 oz.,7.50%,N/A,92,76,72,3.51,225
Silverback Pale Ale,Wynkoop Brewing Company,Denver,CO,American Pale Ale (APA),12 oz.,5.50%,40,46,45,60,3.05,165
Wynkoop Pumpkin Ale,Wynkoop Brewing Company,Denver,CO,Pumpkin Ale,12 oz.,5.50%,N/A,41,46,11,2.98,165
